Layer,Layer_KR,Company,Ticker,Country,Stage_Code,Stage_Label,Reason
L4,그리드 하드웨어,효성중공업,298040,🇰🇷,B,🟡 1년 선행,유럽·미국 송전망 수주 가속. 수익성 개선 중. 전력기기 3순위 추가 편입 시 고려
L4.5,EPC·운영,Quanta Services,PWR,🇺🇸,A,🟢 지금 실적,백로그 $486억 사상 최고. 데이터센터 기초토목 YoY +125%. 전력 인프라 EPC 1위
L4.5,EPC·운영,Sterling Infrastructure,STRL,🇺🇸,A,🟢 지금 실적,데이터센터 기초토목 세그먼트 YoY +125% 확인. ETF 비편입 소형주
L4.5,EPC·운영,Accenture,ACN,🇺🇸,A,🟢 지금 실적,Google Cloud·MS AI 에이전틱 전환 파트너십. AI 인프라 EPC+AX 통합
L4.5,EPC·운영,LG CNS,상장예정,🇰🇷,B,🟡 1년 선행,AI Box 576GPU/1.2MW/6개월 납기. Google Cloud 2026 한국 파트너. 모듈형 DC 국내 선도
L4.5,EPC·운영,삼성SDS,018260,🇰🇷,B,🟡 1년 선행,국가 AI 센터 파트너 선정. AI·클라우드 매출 YoY +30%. 삼성 생태계 연계
L5-A,원전·IPP,Constellation Energy,CEG,🇺🇸,B,🟡 1년 선행,MS 스리마일섬 원전 PPA. 에너지부 $10억 대출 약정. AI DC 24/7 전력 수요 구조적
L5-A,원전·IPP,Vistra,VST,🇺🇸,B,🟡 1년 선행,Meta 원전 3기 20년 PPA. 2035년까지 2.6GW 공급. 텍사스 전력 시장 최강자
L5-A,원전·IPP,Talen Energy,TLN,🇺🇸,B,🟡 1년 선행,Amazon AWS 데이터센터 원전 직결 계약. 원전 직결 모델 선구자
L5-A,원전·IPP,BWX Technologies,BWXT,🇺🇸,C,🔵 장기 옵션,미 해군 원자로 독점 공급 기반. 민간 SMR 연료 가공 핵심. 장기 수요 구조 탄탄
L5-A,원전·IPP,Oklo,OKLO,🇺🇸,C,🔵 장기 옵션,Meta·Switch 등 14GW 선계약. 오하이오 착공 2026. 상업발전 2030년. 현재 매출 미미
L5-A,원전·IPP,두산에너빌리티,034020,🇰🇷,A,🟢 지금 실적,가스터빈 5기 공급 계약 완료(현재형) + SMR 주기기 허브(장기). 이중 레이어 수혜
L5-B,ESS·BESS,Fluence Energy,FLNC,🇺🇸,B,🟡 1년 선행,수주잔고 $56억 YoY +106%. AI DC BESS 첫 계약 예고. GPU 전력 진동 완충 핵심
L5-B,ESS·BESS,Tesla Energy,TSLA,🇺🇸,B,🟡 1년 선행,Megapack AI DC 직접 타겟. GPU 전력 진동 90% 감쇄. 휴스턴 3공장 2026 가동
L5-B,ESS·BESS,LG에너지솔루션,373220,🇰🇷,B,🟡 1년 선행,미국 탈중국 수혜. LFP ESS 미국향 공급 확대. IRA 혜택 지속
L5-B,ESS·BESS,삼성SDI,006400,🇰🇷,B,🟡 1년 선행,고에너지밀도 ESS 글로벌 공급. 유럽 BESS 성장 수혜
L5-B,ESS·BESS,Form Energy,비상장,🇺🇸,C,🔵 장기 옵션,Crusoe 12GWh 철-공기 배터리 계약. 인도 2027 착공. LDES 검증 단계
L5-C,태양광·재생에너지,First Solar,FSLR,🇺🇸,A,🟢 지금 실적,NextEra 2.4GW 공급 계약. 미국산 박막 패널 IRA 관세 혜택 최대 수혜
L5-C,태양광·재생에너지,NextEra Energy,NEE,🇺🇸,A,🟢 지금 실적,Meta·Google AI DC 2.5GW 청정에너지 공급. 태양광+BESS+원전 올라운더
L5-C,태양광·재생에너지,한화솔루션,009830,🇰🇷,B,🟡 1년 선행,QCells 공장 기반 IRA 혜택. 태양광+ESS 통합 패키지 공급 구조
L5-D,천연가스 BTM 발전,GE Vernova,GEV,🇺🇸,A,🟢 지금 실적,가스터빈 납기 3년(vs 경쟁 5년). AI DC 전력 가장 빠른 공급원. NextEra 텍사스 대형 계약
L5-D,천연가스 BTM 발전,Bloom Energy,BE,🇺🇸,B,🟡 1년 선행,Brookfield AI 팩토리 핵심 파트너 선정. 연료전지 온사이트 발전 선두
L5-D,천연가스 BTM 발전,HD현대중공업,329180,🇰🇷,B,🟡 1년 선행,힘센엔진 AI DC 발전용 684MW 역대 최대 계약. 조선+발전 이중 수혜 구조
L5-D,천연가스 BTM 발전,두산에너빌리티,034020,🇰🇷,A,🟢 지금 실적,가스터빈 빅테크향 380MW×5기 공급 계약 완료. 현재 실적 발생 중
L5-D,천연가스 BTM 발전,Energy Transfer,ET,🇺🇸,A,🟢 지금 실적,AI DC향 가스 공급 파이프라인 백로그 급증. Q1 2026 DC 계약 건수 사상 최고
L6,피지컬AI,Ouster,OUST,🇺🇸,A,🟢 지금 실적,FY25 매출 $1.69억 YoY +52%. 제품 마진 60% 개선. 산업용 라이다 입증
L6,피지컬AI,Innoviz,INVZ,🇮🇱,B,🟡 1년 선행,BMW·폭스바겐 공급망. 국방·보안 피지컬AI 침투. CES 2026 InnovizThree 데모
L6,피지컬AI,Symbotic,SYM,🇺🇸,B,🟡 1년 선행,월마트 낙점 물류 피지컬AI 자동화. 실제 상업 배치 단계
L6,피지컬AI,Aeva Technologies,AEVA,🇺🇸,C,🔵 장기 옵션,글로벌 Top10 유럽 OEM FMCW 4D 라이다 독점 선정. 생산 2028년 목표
L6,피지컬AI,레인보우로보틱스,277810,🇰🇷,C,🔵 장기 옵션,삼성 파트너십+휴머노이드 플랫폼. 한국 피지컬AI 서사 대표. 실적 가시성 아직 낮음
L6,피지컬AI,SBB테크,388790,🇰🇷,C,🔵 장기 옵션,파동 감속기 양산 라인 보유. 로봇 구동계 국산화 선두 후보
L7,우주 인프라,Rocket Lab,RKLB,🇺🇸,C,🔵 장기 옵션,발사체·위성·우주 태양광 수직계열화. 소형 위성 배치 비용 최저
L7,우주 인프라,Redwire,RDW,🇺🇸,C,🔵 장기 옵션,ISS IROSA 태양광 4쌍 납품 완료. ELSA 2026 출시. 매출 가이던스 $4.5~5억
L7,우주 인프라,Spire Global,SPIR,🇺🇸,C,🔵 장기 옵션,저궤도 위성 수집 데이터 AI 처리 엣지 서비스
L7,우주 인프라,Planet Labs,PL,🇺🇸,C,🔵 장기 옵션,고빈도 지구 관측 위성. 국방·농업·공급망 모니터링 수요 확대
L7,우주 인프라,쎄트렉아이,099320,🇰🇷,C,🔵 장기 옵션,국내 위성 시스템·고해상도 카메라 전문. 한국 우주 공급망 대표주
L8,사이버보안,CrowdStrike,CRWD,🇺🇸,A,🟢 지금 실적,Falcon+Charlotte AI 자율 위협 탐지. AI 인프라 확장 = 공격 표면 확장. 구조적 수요
L8,사이버보안,Palo Alto Networks,PANW,🇺🇸,A,🟢 지금 실적,FY26 1Q 매출 +16% YoY $25억. AI 중심 플랫폼 전략. 제로트러스트 시장 선도
L8,사이버보안,Zscaler,ZS,🇺🇸,B,🟡 1년 선행,클라우드 네이티브 제로트러스트. AI DC 네트워크 보안 핵심 솔루션
L8,사이버보안,안랩,053800,🇰🇷,B,🟡 1년 선행,국내 AI DC 보안 1위. 공공·금융 고객 기반. 국산 보안 의무화 정책 수혜
